Trimestre;Sentido transacción;Ramas actividad;Código (armonización según CNAE y CNPA);Evolución trimestral del volumen de negocio (€)
2022T2;Desde el exterior con España;Servicios de fotografía y reprografía;7420+ 8219;0
2022T2;Desde el exterior con España;Servicios de investigación;8030;0
2022T2;Desde el exterior con España;Servicios de limpieza;8121;0
2022T2;Desde el exterior con España;Servicios informáticos;6209;0
2022T2;Desde el exterior con España;Servicios inmobiliarios;6820;37401957,19
2022T2;Desde el exterior con España;Servicios postales y paquetería;5310;356687,67
2022T2;Desde el exterior con España;Servicios sanitarios;86;9093125,55
2022T2;Desde el exterior con España;Servicios sociales;88;0
2022T2;Desde el exterior con España;Servicios veterinarios;75;0
2022T2;Desde el exterior con España;Suscripción canales tv;6020;1942204,74
2022T2;Desde el exterior con España;Transporte aéreo;5110;225598372,15
2022T2;Desde el exterior con España;Transporte marítimo;5010;18817067,36
2022T2;Desde el exterior con España;Transporte terrestre de mercancias;4941;4724010,33
2022T2;Desde el exterior con España;Transporte terrestre de viajeros;4931 +4933 + 4939;49157944,89
2022T2;Desde el exterior con España;Vehículos de motor;4511;0
2022T2;Desde el exterior con España;Ventas genéricas por internet;4791;6782867,48
2022T2;Desde España con el exterior;Actividades anexas al transporte;5221 + 5223;32722152,45
2022T2;Desde España con el exterior;Actividades cinematográficas y de vídeo;5917 + 7722;40624579,23
2022T2;Desde España con el exterior;Actividades deportivas y recreativas;93;11837144,51
2022T2;Desde España con el exterior;Administración pública, impuestos y seg. Social;8411;37868795,95
2022T2;Desde España con el exterior;Agencias de viajes y operadores turísticos;7911 + 7912;398152015,45
2022T2;Desde España con el exterior;Alquiler de aeronaves;7735;33677,7
2022T2;Desde España con el exterior;Alquiler de automóviles;7711;48237588,59
2022T2;Desde España con el exterior;Alquiler de efectos personales y enseres domésticos;7729;164761,85
2022T2;Desde España con el exterior;Alquiler de medios de navegación;7734;3006314,85
2022T2;Desde España con el exterior;Arquitectura e ingeniería;7111;219111,15
